75 30
20 5 #
20 6 #
20 7 #
20 8 #
20 9 #
20 10 #
20 11 #
20 12 #
20 13 #
20 14 #
20 15 #
20 16 #
20 17 #
20 18 #
20 19 #
20 20 #
20 21 #
21 5 #
21 6 > d
21 21 #
22 5 #
22 6 #
22 7 #
22 8 #
22 9 #
22 10 #
22 11 #
22 12 #
22 13 #
22 14 #
22 15 #
22 16 #
22 17 #
22 18 #
22 19 #
22 21 #
23 5 #
23 21 #
24 5 #
24 7 #
24 8 #
24 9 #
24 10 #
24 11 #
24 12 #
24 13 #
24 14 #
24 15 #
24 16 #
24 17 #
24 18 #
24 19 #
24 20 #
24 21 #
25 5 #
25 21 #
26 5 #
26 6 #
26 7 #
26 8 #
26 9 #
26 10 #
26 11 #
26 12 #
26 13 #
26 14 #
26 15 #
26 16 #
26 17 #
26 18 #
26 19 #
26 21 #
27 5 #
27 21 #
28 5 #
28 7 #
28 8 #
28 9 #
28 10 #
28 11 #
28 12 #
28 13 #
28 14 #
28 15 #
28 16 #
28 17 #
28 18 #
28 19 #
28 20 #
28 21 #
29 5 #
29 21 #
30 5 #
30 6 #
30 7 #
30 8 #
30 9 #
30 10 #
30 11 #
30 12 #
30 13 #
30 14 #
30 15 #
30 16 #
30 17 #
30 18 #
30 19 #
30 21 #
31 5 #
31 21 #
32 5 #
32 6 X
32 7 #
32 8 #
32 9 #
32 10 #
32 11 #
32 12 #
32 13 #
32 14 #
32 15 #
32 16 #
32 17 #
32 18 #
32 19 #
32 20 #
32 21 #
