75 30
8 24 #
8 25 #
8 26 #
8 27 #
8 28 #
9 24 #
9 27 > u
9 28 #
10 22 #
10 23 #
10 24 #
10 28 #
11 22 #
11 26 #
11 27 #
11 28 #
12 20 #
12 21 #
12 22 #
12 24 #
12 25 #
12 26 #
13 20 #
13 24 #
14 18 #
14 19 #
14 20 #
14 22 #
14 23 #
14 24 #
15 18 #
15 22 #
16 18 #
16 20 #
16 21 #
16 22 #
17 18 #
17 20 #
18 18 #
18 20 #
19 18 #
19 20 #
20 18 #
20 20 #
21 18 #
21 20 #
21 21 #
21 22 #
22 18 #
22 22 #
23 18 #
23 19 #
23 20 #
23 22 #
23 23 #
23 24 #
24 20 #
24 24 #
25 20 #
25 21 #
25 22 #
25 24 #
25 25 #
25 26 #
26 22 #
26 26 #
26 27 #
26 28 #
27 22 #
27 23 #
27 24 #
27 28 #
28 24 #
28 27 X
28 28 #
29 24 #
29 25 #
29 26 #
29 27 #
29 28 #
